STORM NAME,LANDFALL DATE,format change,excel order date,DAMAGE RANK,CURRENT DAMAGE.2012,BASE DAMAGE,LANDFALL STATE,CATEGORY,WmaxLandfall
Fern,"Sep 10,1971","Sep 10, 1971",26186,136,"480,000,000","30,230,000",TX,0,70
Edith,"Sep 16,1971","Sep 16, 1971",26192,147,"310,000,000","25,000,000",LA,2,100
Ginger,"Sep 30,1971","Sep 30, 1971",26206,163,"190,000,000","10,000,000",NC,1,75
Agnes,"Jun 19,1972","Jun 19, 1972",26469,93,"1,420,000,000","100,000,000",FL,1,75
Agnes,"Jun 22,1972","Jun 22, 1972",26472,18,"18,880,000,000","2,000,000,000",NY,0,65
Carrie,"Sep 04,1972","Sep 04, 1972",26546,207,"38,000,000","1,780,000",MA,0,60
Delia,"Sep 04,1973","Sep 04, 1973",26911,149,"300,000,000","18,000,000",TX,0,65
Subtrop 1 1974,"Jun 25,1974","Jun 25, 1974",27205,176,"130,000,000","10,000,000",FL,0,65
Carmen,"Sep 07,1974","Sep 07, 1974",27279,107,"1,140,000,000","150,000,000",LA,4,150
Eloise,"Sep 23,1975","Sep 23, 1975",27660,47,"6,230,000,000","490,000,000",FL,3,125
Belle,"Aug 09,1976","Aug 09, 1976",27981,129,"570,000,000","100,000,000",NY,1,90
Babe,"Sep 05,1977","Sep 05, 1977",28373,194,"65,000,000","10,000,000",LA,1,75
Amelia,"Jul 30,1978","Jul 30, 1978",28701,164,"190,000,000","20,000,000",TX,0,50
Bob,"Jul 11,1979","Jul 11, 1979",29047,196,"61,000,000","20,000,000",LA,1,75
Claudette,"Jul 24,1979","Jul 24, 1979",29060,86,"1,710,000,000","400,000,000",TX,0,50
Elena,"Sep 01,1979","Sep 01, 1979",29099,193,"67,000,000","10,000,000",TX,0,40
David,"Sep 03,1979","Sep 03, 1979",29101,90,"1,570,000,000","160,000,000",FL,2,100
David,"Sep 04,1979","Sep 04, 1979",29102,112,"980,000,000","160,000,000",GA,2,100
Frederic,"Sep 12,1979","Sep 12, 1979",29110,28,"12,640,000,000","2,300,000,000",AL,3,130
Allen,"Aug 09,1980","Aug 09, 1980",29442,83,"2,060,000,000","300,000,000",TX,3,115
Dennis,"Aug 17,1981","Aug 17, 1981",29815,175,"140,000,000","25,000,000",FL,0,40
Subtrop 1 1982,"Jun 18,1982","Jun 18, 1982",30120,199,"58,000,000","10,000,000",FL,0,45
Chris,"Sep 11,1982","Sep 11, 1982",30205,226,"7,000,000","2,000,000",LA,0,65
Alicia,"Aug 18,1983","Aug 18, 1983",30546,33,"9,670,000,000","2,000,000,000",TX,3,115
Diana,"Sep 13,1984","Sep 13, 1984",30938,142,"370,000,000","65,000,000",NC,1,90
Isidore,"Sep 27,1984","Sep 27, 1984",30952,230,"6,000,000","1,000,000",FL,0,60
Bob,"Jul 25,1985","Jul 25, 1985",31253,178,"120,000,000","20,000,000",SC,1,75
Danny,"Aug 15,1985","Aug 15, 1985",31274,169,"160,000,000","50,000,000",LA,1,90
Elena,"Sep 02,1985","Sep 02, 1985",31292,59,"4,340,000,000","1,250,000,000",MS,3,115
Gloria,"Sep 26,1985","Sep 26, 1985",31316,133,"520,000,000","100,000,000",NC,2,105
Gloria,"Sep 27,1985","Sep 27, 1985",31317,74,"2,490,000,000","800,000,000",NY,1,85
Juan,"Oct 29,1985","Oct 29, 1985",31349,56,"4,560,000,000","1,500,000,000",LA,1,85
Kate,"Nov 21,1985","Nov 21, 1985",31372,99,"1,270,000,000","300,000,000",FL,2,100
Bonnie,"Jun 26,1986","Jun 26, 1986",31589,231,"6,000,000","2,000,000",TX,1,85
